
. Module name, ATOMS, ARITHMETIC MODE, REGISTERS, SYNC RAMS, MACs
. fm_radio, 4931, 0, 3920, 22, 108
.	. add, 34, 0, 32, 0, 0
.	. demod_fir_32s_1s_Z2, 317, 0, 123, 1, 6
.	. demod_fir_32s_1s_Z3, 308, 0, 125, 1, 6
.	. demod_fir_32s_8s_Z5, 276, 0, 125, 1, 6
.	. demodulate, 1014, 0, 526, 0, 36
.	.	. qarctan, 823, 0, 304, 0, 8
.	.	.	. div_32s_32s, 598, 0, 245, 0, 0
.	. fifo_32s_16s_5s, 16, 0, 11, 1, 0
.	. fifo_32s_16s_5s_0, 17, 0, 11, 1, 0
.	. fifo_32s_16s_5s_3, 25, 0, 17, 0, 0
.	. fifo_32s_16s_5s_5, 17, 0, 11, 1, 0
.	. fifo_32s_16s_5s_5_0, 9, 0, 6, 1, 0
.	. fifo_32s_16s_5s_5_1, 354, 0, 555, 0, 0
.	. fifo_32s_16s_5s_5_10, 22, 0, 17, 1, 0
.	. fifo_32s_16s_5s_5_11, 20, 0, 17, 1, 0
.	. fifo_32s_16s_5s_5_12, 21, 0, 19, 1, 0
.	. fifo_32s_16s_5s_5_13, 21, 0, 19, 1, 0
.	. fifo_32s_16s_5s_5_2, 354, 0, 555, 0, 0
.	. fifo_32s_16s_5s_5_3, 20, 0, 17, 1, 0
.	. fifo_32s_16s_5s_5_4, 26, 0, 21, 1, 0
.	. fifo_32s_16s_5s_5_5, 25, 0, 15, 1, 0
.	. fifo_32s_16s_5s_5_6, 21, 0, 17, 1, 0
.	. fifo_32s_16s_5s_5_7, 21, 0, 17, 1, 0
.	. fifo_32s_16s_5s_5_8, 21, 0, 17, 1, 0
.	. fifo_32s_16s_5s_5_9, 17, 0, 11, 1, 0
.	. fifo_8s_16s_5s, 113, 0, 147, 0, 0
.	. fir_32s_1s_Z4, 314, 0, 124, 1, 6
.	. fir_32s_8s_Z6, 302, 0, 125, 1, 6
.	. fir_cmplx_20s_Z1, 518, 0, 216, 2, 8
.	. gain_32s_10s_0, 49, 0, 3, 0, 4
.	. gain_32s_10s_1, 49, 0, 3, 0, 4
.	. iir_2s_Z7_2, 222, 0, 322, 0, 8
.	. iir_2s_Z7_2_0, 221, 0, 322, 0, 8
.	. multiply, 56, 0, 69, 0, 6
.	. read_iq_32s_16s_8s_10s, 51, 0, 37, 0, 0
.	. square_32s, 25, 0, 4, 0, 4
.	. sub, 33, 0, 32, 0, 0
